path,label,artifacts.edge_orientation_entropy,artifacts.edge_sharpness_cv,artifacts.edge_sharpness_skew,artifacts.jpeg_grid_ratio,artifacts.orientation_coherence,artifacts.score,artifacts.texture_cv,artifacts.texture_variance,ela.block_variance,ela.mean_ela,ela.quadrant_cv,ela.score,ela.std_ela,ela.texture_error_ratio,ela.uniformity_cv,metadata.score,noise.avg_autocorrelation,noise.avg_channel_correlation,noise.avg_noise_std,noise.b_kurtosis,noise.b_noise_std,noise.b_skewness,noise.channel_correlation_gb,noise.channel_correlation_rb,noise.channel_correlation_rg,noise.g_kurtosis,noise.g_noise_std,noise.g_skewness,noise.poisson_correlation,noise.r_kurtosis,noise.r_noise_std,noise.r_skewness,noise.score,spectral.anomalous_peaks,spectral.hf_lf_energy_ratio,spectral.hf_spectral_flatness,spectral.peak_strength,spectral.power_law_fit_r2,spectral.score,spectral.spectral_slope_alpha,statistical.avg_entropy,statistical.b_entropy,statistical.b_mean,statistical.b_std,statistical.benford_correlation,statistical.benford_deviation,statistical.g_entropy,statistical.g_mean,statistical.g_std,statistical.glcm_contrast,statistical.glcm_energy,statistical.glcm_homogeneity,statistical.r_entropy,statistical.r_mean,statistical.r_std,statistical.sat_mean,statistical.sat_p90,statistical.sat_std,statistical.score
dataset/real\pexels-photo-15097203.jpg,0,4.9955,0.3459,1.1653,0.9921,0.00022,70,0.1394,34.65,3.88,3.92,0.0398,54,3.01,2.209,0.7674,50,0.5909,0.8418,13.15,11.7928,13.1817,1.6194,0.9121,0.7157,0.8976,9.8856,12.5814,1.7104,0.68,8.4952,13.6869,1.487,28,0.0,0.1898,0.9485,0.0,0.9733,38,1.2162,7.1335,6.874,56.28,37.92,0.9917,0.0991,7.0881,61.64,43.46,2.0437,0.024741,0.711,7.4385,73.35,60.4,0.3388,0.64,0.2169,48
dataset/real\pexels-photo-17410112.jpg,0,5.0941,0.3318,1.3839,1.0044,8.9e-05,58,0.4311,201.09,3.88,3.12,0.183,34,2.52,5.1719,0.8093,50,0.3876,0.7432,8.8998,14.9308,5.9941,1.6446,0.6339,0.6234,0.9722,5.6878,10.0143,0.4757,0.8211,6.364,10.6909,0.4668,16,5.0,0.2358,0.9677,3.0,0.9956,64,1.2,6.8256,5.9615,26.21,30.5,0.9917,0.1778,7.3282,77.88,48.94,2.2598,0.029459,0.6878,7.1871,56.38,54.9,0.6987,1.0,0.2224,80
dataset/real\pexels-photo-20186776.jpg,0,4.8027,0.4487,1.124,1.0048,0.000472,50,0.2799,176.97,1.22,2.63,0.115,42,1.6,2.1819,0.6081,50,0.4451,0.9757,11.4108,9.1507,11.7605,0.412,0.9943,0.9627,0.97,9.3181,11.6916,0.4718,0.266,10.7224,10.7803,0.5828,50,0.0,0.2037,0.9658,0.0,0.9922,38,1.2639,7.5784,7.6489,124.09,73.12,0.9952,0.0754,7.6169,116.57,70.59,3.8954,0.013293,0.6111,7.4695,86.65,57.52,0.3392,0.4643,0.1234,34
dataset/real\pexels-photo-20858852.jpg,0,4.7488,0.4074,1.5341,1.0012,0.000584,58,0.24,52.15,1.05,2.02,0.2875,34,1.35,2.8066,0.6681,50,-0.0604,0.9259,5.7056,7.7945,5.5718,0.5636,0.9378,0.8919,0.948,6.7676,5.7514,0.4055,-0.4281,6.508,5.7935,0.3502,54,0.0,0.2085,0.9621,0.0,0.9903,38,1.2364,7.5113,7.4548,95.46,49.66,0.9901,0.1112,7.5587,94.02,53.11,1.4362,0.016684,0.7097,7.5203,85.1,51.33,0.2516,0.4565,0.1504,42
dataset/real\pexels-photo-27604616.jpg,0,5.1396,0.6205,2.5156,1.0006,3.4e-05,34,0.3158,225.48,0.94,1.9,0.0627,54,1.29,2.4042,0.6821,50,0.2464,0.8401,4.0814,20.5294,3.4821,-0.0384,0.9281,0.7787,0.8136,21.8333,3.8879,-0.0683,0.0705,18.7655,4.8743,-0.2528,30,0.0,0.113,0.9511,0.0,0.992,52,1.6172,7.3244,7.2829,83.36,47.7,0.984,0.1107,7.533,80.88,55.81,0.8101,0.024027,0.7775,7.1573,80.3,74.75,0.5095,1.0,0.3373,72
dataset/real\pexels-photo-32211224.jpg,0,5.1342,0.7909,3.1115,1.0071,3.9e-05,16,0.4522,273.1,0.38,1.96,0.0725,62,1.07,1.6069,0.5472,50,0.054,0.5699,3.1729,28.407,3.3744,1.3427,0.7175,0.4088,0.5833,76.4303,2.6852,2.8435,-0.275,22.3244,3.4591,1.0267,42,9.0,0.2093,0.9699,3.65,0.9922,74,1.3443,7.2357,7.2465,111.91,48.68,0.9583,0.1498,7.3174,124.88,52.7,1.4859,0.019435,0.6865,7.1432,119.33,49.3,0.1454,0.2521,0.0741,56
dataset/real\pexels-photo-34409530.jpg,0,5.143,0.31,2.626,0.9998,2.8e-05,58,0.2665,60.86,1.0,2.48,0.2185,42,1.41,2.6682,0.5698,50,0.3268,0.967,7.4108,4.0901,6.732,0.5934,0.9685,0.9484,0.9842,4.0801,7.5026,0.4969,-0.4516,4.0418,7.9977,0.4703,72,5.0,0.2825,0.9756,3.77,0.9961,64,1.1025,7.37,7.2696,82.12,68.06,0.998,0.0567,7.4113,75.35,47.18,1.3203,0.019908,0.7523,7.429,75.99,52.05,0.4924,0.8889,0.2594,64
dataset/real\pexels-photo-37902784.jpg,0,5.0759,0.4344,2.2309,1.001,0.000101,50,0.2997,146.59,0.66,2.13,0.2326,42,1.2,2.3631,0.5639,50,0.3106,0.9935,7.5384,3.7746,7.5065,-0.1398,0.9949,0.9922,0.9933,3.8387,7.5584,-0.1503,-0.3618,3.8415,7.5503,-0.1541,72,10.0,0.1574,0.9559,2.9,0.9903,74,1.4307,7.624,7.6603,130.49,53.9,0.998,0.1252,7.5946,134.9,54.3,1.5572,0.016725,0.7118,7.617,142.57,54.31,0.1523,0.352,0.1277,50
dataset/real\pexels-photo-7574817.jpg,0,4.9952,0.703,2.7976,1.0071,0.00021,16,0.6206,619.68,0.5,0.84,0.3009,26,0.86,7.4241,1.0233,50,0.6246,0.9744,3.0383,31.5707,2.9401,0.0032,0.9864,0.965,0.9719,33.0299,3.0348,-0.0477,0.1087,41.9826,3.14,-0.3656,66,8.0,0.162,0.9591,2.91,0.9976,84,1.4818,6.7646,6.7587,128.22,98.79,0.9813,0.2523,6.7812,127.12,99.36,0.2359,0.099403,0.9113,6.7541,126.4,99.3,0.1467,0.5,0.2059,70
dataset/ai\67550b5b-1b2a-4ed9-b14a-829a052ff37c.webp,1,5.128,0.498,2.7444,1.0,4.6e-05,42,0.2821,145.47,0.73,1.36,0.1639,34,1.1,3.1727,0.8128,50,0.5469,0.9901,5.1389,13.5789,5.1556,0.2892,0.9911,0.9884,0.9908,13.7521,5.1308,0.2964,-0.4852,13.6214,5.1302,0.2797,84,9.0,0.2376,0.9818,3.58,0.9885,64,1.2962,7.6297,7.7161,121.88,56.91,0.9966,0.1489,7.6216,123.53,51.73,0.9308,0.021716,0.8271,7.5514,125.52,47.37,0.1746,0.3333,0.1178,64
